batch_size,dropout,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,0.2,100,0.001,rmsprop,25,0.7409,0.5658,0.5783,0.7746
32,0.2,150,0.001,rmsprop,25,0.7409,0.5658,0.5783,0.7746
32,0.4,50,0.0005,rmsprop,50,0.7382,0.5654,0.579,0.7911
32,0.4,150,0.0001,adam,150,0.7465,0.56,0.5677,0.7886
64,0.3,100,0.0001,rmsprop,100,0.7493,0.5594,0.5669,0.7648
64,0.1,100,0.0005,sgd,100,0.766,0.5556,0.5713,0.7811
32,0.3,150,0.0005,sgd,150,0.7409,0.5481,0.5511,0.8079
64,0.1,50,0.001,sgd,50,0.7577,0.5473,0.5636,0.7814
32,0.1,50,0.001,rmsprop,18,0.7159,0.5401,0.5554,0.7948
32,0.1,100,0.001,rmsprop,18,0.7159,0.5401,0.5554,0.7948
32,0.1,150,0.001,rmsprop,18,0.7159,0.5401,0.5554,0.7948
64,0.2,150,0.0005,sgd,150,0.7493,0.5381,0.5596,0.8025
128,0.2,50,0.0001,adam,50,0.7354,0.5343,0.5472,0.8089
128,0.2,150,0.001,sgd,150,0.7437,0.529,0.5474,0.794
64,0.3,150,0.001,sgd,150,0.7409,0.5266,0.5438,0.8076
64,0.4,50,0.0005,rmsprop,50,0.7326,0.525,0.5478,0.7891
32,0.4,150,0.001,sgd,147,0.7409,0.5217,0.5365,0.8082
32,0.3,50,0.0001,adam,50,0.7437,0.5207,0.5393,0.7939
128,0.4,50,0.0005,rmsprop,50,0.7354,0.52,0.5411,0.832
32,0.4,100,0.001,sgd,100,0.7382,0.5166,0.5306,0.8261
128,0.3,100,0.0001,adam,100,0.7409,0.5161,0.5377,0.8117
128,0.3,100,0.0001,rmsprop,100,0.7409,0.5141,0.538,0.8279
32,0.3,50,0.0001,rmsprop,50,0.7382,0.5137,0.5367,0.8166
32,0.4,150,0.0001,rmsprop,150,0.7159,0.5104,0.5373,0.8167
128,0.1,150,0.0005,sgd,150,0.7298,0.5059,0.5299,0.8089
32,0.4,100,0.0001,rmsprop,100,0.7326,0.505,0.5293,0.876
128,0.4,50,0.0005,adam,50,0.7242,0.5041,0.5241,0.8321
64,0.4,150,0.0001,adam,150,0.7298,0.5031,0.5286,0.8394
